ticket,order,time_utc,time_broker,symbol,type,entry,volume,price,profit,commission,swap,fee,position_id,magic,comment
260614891,0,2026-06-28T23:12:20+00:00,1782688340,,BALANCE,IN,0.0,0.0,50000.0,0.0,0.0,0.0,0,0,Demo Deposit
260739250,330977312,2026-06-29T05:40:08+00:00,1782711608,GER40,BUY,IN,2.5,24785.1,0.0,0.0,0.0,0.0,330977312,52890969,forexsai-sr GDAX
261075065,331388704,2026-06-29T17:15:00+00:00,1782753300,GER40,SELL,OUT,2.5,24608.3,-504.35,0.0,0.0,0.0,330977312,52890969,[sl 24608.3]
261406494,331815246,2026-06-30T06:29:10+00:00,1782800950,SpotCrude,BUY,IN,5.0,71.056,0.0,0.0,0.0,0.0,331815246,52890969,fxs-sr USOIL.FOR
261440809,331860730,2026-06-30T08:01:19+00:00,1782806479,GER40,SELL,IN,5.0,24830.8,0.0,0.0,0.0,0.0,331860730,52890970,fxs GDAXI.INDX:S
261450772,331869738,2026-06-30T08:30:00+00:00,1782808200,SpotCrude,SELL,IN,5.0,70.794,0.0,0.0,0.0,0.0,331869738,52890969,fxs-sr USOIL.FOR
261462457,331886300,2026-06-30T09:01:33+00:00,1782810093,SpotCrude,BUY,OUT,5.0,70.614,90.0,0.0,0.0,0.0,331869738,52890969,[tp 70.614]
261469492,331895464,2026-06-30T09:21:57+00:00,1782811317,SpotCrude,SELL,OUT,5.0,70.417,-319.5,0.0,0.0,0.0,331815246,52890969,[sl 70.417]
261499917,331928660,2026-06-30T10:00:14+00:00,1782813614,SpotCrude,SELL,IN,5.0,70.725,0.0,0.0,0.0,0.0,331928660,52890969,fxs-sr USOIL.FOR
261542866,331991369,2026-06-30T11:36:19+00:00,1782819379,SpotCrude,BUY,OUT,5.0,71.423,-349.0,0.0,0.0,0.0,331928660,52890969,[sl 71.423]
261550969,331994416,2026-06-30T11:56:05+00:00,1782820565,SpotCrude,BUY,IN,5.0,71.153,0.0,0.0,0.0,0.0,331994416,52890969,fxs-sr USOIL.FOR
261560132,332011966,2026-06-30T12:24:11+00:00,1782822251,SpotCrude,SELL,OUT,5.0,71.32,83.5,0.0,0.0,0.0,331994416,52890969,[tp 71.320]
261560459,332012323,2026-06-30T12:25:03+00:00,1782822303,SpotCrude,BUY,IN,5.0,71.317,0.0,0.0,0.0,0.0,332012323,52890969,fxs-sr USOIL.FOR
261570767,332027988,2026-06-30T12:49:33+00:00,1782823773,GER40,BUY,OUT,5.0,24949.8,-678.0,0.0,0.0,0.0,331860730,52890970,[sl 24949.8]
261570868,332028110,2026-06-30T12:50:00+00:00,1782823800,GER40,SELL,IN,5.0,24953.4,0.0,0.0,0.0,0.0,332028110,52890970,fxs GDAXI.INDX:S
261630332,332118062,2026-06-30T15:18:19+00:00,1782832699,SpotCrude,SELL,OUT,5.0,72.059,371.0,0.0,0.0,0.0,332012323,52890969,[tp 72.059]
261642870,332133635,2026-06-30T15:35:08+00:00,1782833708,SpotCrude,BUY,IN,5.0,71.699,0.0,0.0,0.0,0.0,332133635,52890969,fxs-sr USOIL.FOR
261662952,332162278,2026-06-30T16:05:25+00:00,1782835525,SpotCrude,SELL,OUT,5.0,71.891,96.0,0.0,0.0,0.0,332133635,52890969,[tp 71.891]
261681612,332185057,2026-06-30T16:28:50+00:00,1782836930,SpotCrude,BUY,IN,5.0,71.665,0.0,0.0,0.0,0.0,332185057,52890969,fxs-sr USOIL.FOR
261775004,332302984,2026-06-30T17:42:45+00:00,1782841365,SpotCrude,SELL,OUT,5.0,71.112,-276.5,0.0,0.0,0.0,332185057,52890969,[sl 71.112]
261837594,332381940,2026-06-30T19:22:57+00:00,1782847377,SpotCrude,SELL,IN,5.0,70.615,0.0,0.0,0.0,0.0,332381940,52890969,fxs-sr USOIL.FOR
261840643,332386138,2026-06-30T19:33:38+00:00,1782848018,SpotCrude,BUY,OUT,5.0,70.426,94.5,0.0,0.0,0.0,332381940,52890969,[tp 70.426]
261920082,332483570,2026-06-30T23:38:07+00:00,1782862687,NAS100,SELL,IN,5.0,30237.4,0.0,0.0,0.0,0.0,332483570,52890971,fxs NDX.INDX:SEL
261920084,332483572,2026-06-30T23:38:07+00:00,1782862687,NAS100,SELL,IN,5.0,30237.4,0.0,0.0,0.0,0.0,332483572,52890971,fxs NDX.INDX:SEL
