iter	Passed	Remaining
0	2	604
1	3	547
2	5	518
3	6	511
4	8	494
5	9	485
6	11	478
7	13	480
8	14	474
9	16	469
10	17	468
11	19	467
12	21	467
13	22	468
14	24	469
15	26	469
16	28	467
17	30	470
18	31	470
19	33	472
20	35	475
21	37	476
22	40	481
23	41	480
24	43	479
25	45	479
26	47	479
27	49	479
28	51	477
29	52	473
30	54	470
31	55	468
32	57	465
33	59	462
34	60	459
35	62	457
36	64	457
37	66	455
38	67	454
39	69	452
40	71	450
41	73	449
42	75	449
43	77	449
44	79	448
45	81	447
46	82	445
47	84	443
48	86	442
49	88	440
50	89	439
51	91	437
52	93	435
53	95	433
54	97	432
55	98	430
56	100	428
57	102	427
58	104	425
59	105	423
60	107	420
61	109	419
62	111	417
63	112	416
64	114	414
65	116	414
66	118	413
67	120	412
68	122	411
69	125	410
70	127	409
71	129	408
72	130	406
73	132	405
74	134	404
75	136	403
76	138	401
77	140	400
78	142	398
79	144	397
80	146	395
81	148	394
82	150	392
83	152	391
84	154	390
85	156	389
86	158	388
87	161	388
88	163	387
89	165	386
90	167	385
91	170	384
92	172	384
93	175	383
94	177	382
95	179	382
96	182	381
97	184	380
98	186	379
99	189	378
100	190	376
101	193	374
102	195	373
103	196	371
104	198	369
105	200	367
106	202	366
107	204	364
108	206	362
109	208	360
110	210	358
111	212	357
112	214	355
113	216	353
114	218	351
115	220	350
116	222	348
117	224	346
118	226	344
119	228	343
120	230	341
121	232	339
122	234	338
123	237	336
124	239	334
125	241	332
126	242	330
127	245	329
128	246	327
129	248	325
130	250	323
131	253	322
132	255	320
133	257	319
134	259	317
135	262	315
136	264	314
137	266	312
138	268	311
139	270	309
140	272	307
141	275	306
142	277	304
143	281	305
144	285	304
145	287	302
146	289	301
147	291	299
148	293	296
149	294	294
150	296	292
151	298	291
152	300	288
153	302	286
154	303	284
155	305	282
156	307	279
157	309	277
158	310	275
159	312	273
160	314	271
161	316	269
162	318	267
163	320	265
164	321	263
165	324	261
166	326	259
167	328	257
168	330	255
169	331	253
170	334	251
171	336	250
172	338	248
173	340	246
174	342	244
175	344	242
176	346	240
177	348	238
178	350	236
179	352	234
180	354	232
181	356	231
182	358	229
183	361	227
184	363	225
185	365	223
186	367	221
187	369	219
188	370	217
189	373	216
190	375	214
191	377	212
192	379	210
193	381	208
194	383	206
195	385	204
196	387	202
197	388	200
198	390	198
199	392	196
200	394	194
201	395	192
202	397	190
203	399	188
204	401	186
205	403	184
206	405	182
207	406	179
208	408	178
209	410	175
210	412	173
211	414	171
212	416	169
213	417	167
214	419	165
215	421	163
216	423	162
217	425	160
218	427	158
219	429	156
220	431	154
221	433	152
222	435	150
223	437	148
224	439	146
225	441	144
226	443	142
227	445	140
228	447	138
229	449	136
230	451	134
231	453	132
232	455	130
233	457	129
234	459	127
235	461	125
236	463	123
237	464	121
238	466	119
239	468	117
240	470	115
241	472	113
242	474	111
243	476	109
244	478	107
245	479	105
246	481	103
247	483	101
248	485	99
249	487	97
250	489	95
251	492	93
252	494	91
253	496	89
254	498	87
255	500	85
256	502	84
257	504	82
258	506	80
259	508	78
260	510	76
261	511	74
262	513	72
263	515	70
264	518	68
265	520	66
266	522	64
267	524	62
268	526	60
269	528	58
270	530	56
271	532	54
272	533	52
273	535	50
274	538	48
275	539	46
276	541	44
277	543	43
278	545	41
279	547	39
280	548	37
281	550	35
282	552	33
283	554	31
284	556	29
285	557	27
286	559	25
287	561	23
288	563	21
289	565	19
290	567	17
291	569	15
292	571	13
293	573	11
294	574	9
295	576	7
296	578	5
297	580	3
298	582	1
299	584	0
