ts,o,h,l,c,v
1781913600,25034.0,25169.0,25030.0,25162.5,7217.0
1781917200,25161.0,25179.5,25106.5,25124.5,5547.0
1781920800,25125.5,25141.0,25063.5,25113.0,6012.0
1781924400,25114.0,25129.5,25018.0,25045.5,5480.0
1781928000,25044.0,25063.5,25011.5,25043.5,4996.0
1781931600,25044.0,25066.5,24950.5,25061.0,5215.0
1781935200,25062.0,25098.5,25021.5,25053.0,5899.0
1781938800,25054.0,25084.4,25026.8,25036.8,4727.0
1781942400,25037.3,25064.8,24973.6,25013.6,5244.0
1781946000,25014.1,25042.6,24989.1,24995.6,2180.0
1781949600,24994.6,25007.6,24989.6,25003.6,713.0
1781953200,25004.1,25011.1,24998.6,25002.6,465.0
1781956800,25002.1,25012.6,24986.6,24993.6,501.0
1782079200,24983.3,24987.6,24903.8,24943.0,2952.0
1782082800,24983.3,24987.6,24903.8,24943.0,2952.0
1782086400,24942.3,24943.2,24843.7,24851.5,4126.0
1782090000,24983.3,24987.6,24903.8,24943.0,2952.0
1782093600,24942.3,24943.2,24843.7,24851.5,4126.0
1782097200,24945.9,25028.1,24945.9,25024.1,1225.0
1782100800,25026.1,25050.1,24997.1,25002.1,1431.0
1782104400,25001.1,25017.1,24981.1,24984.1,1010.0
1782108000,24984.1,25003.1,24965.1,24981.1,802.0
1782111600,24981.1,24996.1,24962.1,24995.1,1063.0
1782115200,24995.1,25043.1,24995.1,25039.1,1155.0
1782118800,25040.1,25102.7,25027.7,25093.7,1813.0
1782122400,25097.7,25108.7,25009.7,25036.7,4375.0
1782126000,25036.7,25040.7,24967.7,24972.7,3712.0
1782129600,24972.7,25000.7,24923.7,24923.7,3106.0
1782133200,24923.7,24963.7,24918.7,24934.7,2654.0
1782136800,25150.2109375,25176.2109375,25083.900390625,25112.720703125,0.0
1782140400,25112.990234375,25148.990234375,25091.310546875,25148.990234375,0.0
1782144000,25047.7,25176.7,25047.7,25174.7,4287.0
1782147600,25174.7,25202.7,25109.7,25139.7,4475.0
1782151200,25139.7,25195.7,25116.7,25133.7,3927.0
1782154800,25136.7,25136.7,25101.7,25118.7,2919.0
1782158400,25119.7,25122.7,25088.7,25115.7,1976.0
1782162000,25115.7,25135.7,25098.7,25100.7,2010.0
1782165600,25100.7,25124.7,25091.7,25119.7,2339.0
1782169200,25092.1,25109.5,25083.3,25087.5,2978.0
1782172800,25057.5,25060.0,25040.3,25056.4,1167.0
1782176400,25102.3,25104.0,25050.5,25057.3,2039.0
1782180000,25057.5,25060.0,25040.3,25056.4,1167.0
1782183600,25056.4,25125.6,25054.4,25111.6,1503.0
1782187200,25111.6,25121.6,25058.6,25078.6,2458.0
1782190800,25078.6,25087.6,25022.6,25026.6,1894.0
1782194400,25026.6,25030.6,24946.6,25008.6,1838.0
1782198000,25008.6,25015.6,24938.6,24945.6,1426.0
1782201600,24946.6,24966.6,24897.6,24911.6,2291.0
1782205200,24911.6,24939.2,24856.2,24860.2,3248.0
1782208800,24861.2,24906.2,24792.2,24812.2,5592.0
1782212400,24812.2,24822.2,24748.2,24797.2,4987.0
1782216000,24797.2,24884.2,24779.2,24875.2,3333.0
1782219600,24877.2,24937.2,24859.2,24881.2,2817.0
1782223200,24943.140625,24988.7109375,24922.560546875,24954.7109375,0.0
1782226800,24954.869140625,24977.830078125,24929.5703125,24935.919921875,0.0
1782230400,24934.2,24970.7,24879.2,24969.7,4488.0
1782234000,24969.7,25017.7,24948.7,24981.7,4300.0
1782237600,24981.7,25005.7,24901.7,24960.7,3952.0
1782241200,24960.7,24999.7,24957.7,24990.7,2700.0
1782244800,24989.7,24996.7,24955.7,24957.7,2287.0
1782248400,24958.7,24973.7,24909.7,24927.7,2392.0
1782252000,24929.7,24962.7,24914.7,24925.7,3319.0
1782255600,24899.1,24931.5,24887.0,24923.9,2966.0
1782259200,24888.9,24936.0,24850.3,24929.3,4440.0
1782262800,24935.6,24949.7,24877.5,24888.7,3330.0
1782266400,24888.9,24936.0,24850.3,24929.3,4440.0
1782270000,24981.7,24983.7,24927.9,24957.9,2049.0
1782273600,24958.9,24976.9,24927.9,24967.9,2469.0
1782277200,24965.9,24970.9,24890.9,24890.9,2017.0
1782280800,24890.9,24958.9,24883.9,24914.9,2135.0
1782284400,24914.9,24919.9,24857.9,24909.9,1528.0
1782288000,24909.9,24966.9,24907.9,24940.4,1920.0
1782291600,24941.9,24957.5,24897.5,24897.5,1986.0
1782295200,24893.5,24893.5,24687.5,24719.5,5596.0
1782298800,24719.5,24761.5,24708.5,24722.5,4197.0
1782302400,24722.5,24733.5,24664.5,24677.5,3276.0
1782306000,24677.5,24695.5,24639.5,24657.5,2995.0
1782309600,24656.349609375,24710.9296875,24616.08984375,24705.23046875,0.0
1782313200,24705.01953125,24721.41015625,24651.619140625,24713.509765625,0.0
1782316800,24651.5,24712.5,24610.5,24681.5,5077.0
1782320400,24681.5,24733.5,24635.5,24727.5,4879.0
1782324000,24728.5,24779.5,24675.5,24753.5,3754.0
1782327600,24754.5,24775.5,24717.5,24727.5,2834.0
1782331200,24727.5,24747.5,24654.5,24676.5,4652.0
1782334800,24676.5,24738.5,24666.5,24680.5,4254.0
1782338400,24680.5,24727.5,24652.5,24711.5,3892.0
1782342000,24674.1,24794.5,24668.1,24788.1,6672.0
1782345600,24746.4,24770.6,24739.2,24751.2,2257.0
1782349200,24800.9,24801.9,24745.0,24746.9,3007.0
1782352800,24746.4,24770.6,24739.2,24751.2,2257.0
1782356400,24778.7,24788.1,24735.8,24755.8,2415.0
1782360000,24755.8,24782.8,24720.8,24724.8,3250.0
1782363600,24725.8,24737.8,24703.8,24727.8,2812.0
1782367200,24727.8,24744.8,24707.8,24737.8,1830.0
1782370800,24738.8,24756.3,24714.8,24750.8,1216.0
1782374400,24750.8,24798.8,24736.8,24771.8,1271.0
1782378000,24771.8,24814.4,24755.4,24814.4,1681.0
1782381600,24814.4,24876.4,24780.4,24876.4,4130.0
1782385200,24876.4,24916.4,24841.4,24893.4,2931.0
1782388800,24894.4,24937.4,24892.4,24931.4,2385.0
1782392400,24931.4,24951.4,24908.4,24941.4,2014.0
1782396000,24847.599609375,25088.279296875,24847.599609375,25053.66015625,0.0
1782399600,25054.150390625,25069.689453125,24958.26953125,24995.689453125,0.0
1782403200,24998.4,25032.4,24866.4,24875.4,4883.0
1782406800,24874.4,25113.4,24874.4,25079.4,7016.0
1782410400,25080.4,25096.4,24983.4,25048.4,5527.0
1782414000,25048.4,25078.4,24991.4,25017.4,4083.0
1782417600,25017.4,25044.4,24999.4,25022.4,3788.0
1782421200,25023.4,25032.4,24970.4,24993.4,4292.0
1782424800,24993.4,25001.4,24961.4,24983.4,3760.0
1782428400,24960.5,25026.4,24960.5,24977.0,4483.0
1782435600,24956.2,24967.7,24907.5,24950.2,2672.0
1782439200,24950.4,25030.9,24923.0,24938.2,4100.0
1782442800,24997.8,25011.0,24945.0,24952.0,1989.0
1782446400,24953.0,24976.0,24876.0,24897.0,3770.0
1782450000,24897.0,24900.0,24760.0,24776.0,3154.0
1782453600,24777.0,24822.0,24728.0,24822.0,3072.0
1782457200,24822.0,24830.0,24778.0,24785.0,2683.0
1782460800,24786.0,24846.0,24775.5,24804.0,2565.0
1782464400,24806.0,24919.6,24794.6,24889.6,2742.0
1782468000,24885.6,24904.6,24815.6,24845.6,4518.0
1782471600,24845.6,24853.6,24749.6,24777.6,3877.0
1782475200,24778.6,24778.6,24702.6,24733.6,3746.0
1782478800,24733.6,24737.6,24690.6,24705.6,2956.0
1782482400,24655.5390625,24698.3203125,24597.359375,24611.05078125,0.0
1782486000,24611.349609375,24681.66015625,24590.73046875,24681.509765625,0.0
1782489600,24656.6,24689.6,24570.6,24684.6,5804.0
1782493200,24684.6,24723.6,24621.6,24635.6,4933.0
1782496800,24635.6,24732.6,24617.6,24702.6,4339.0
1782500400,24702.6,24704.6,24628.6,24669.6,3908.0
1782504000,24670.6,24700.6,24658.6,24679.6,2808.0
1782507600,24679.6,24694.6,24641.6,24650.6,2642.0
1782511200,24650.6,24683.6,24636.6,24668.6,3372.0
1782694800,24744.1,24774.9,24701.0,24725.1,2826.0
1782698400,24724.7,24774.5,24721.3,24747.1,3981.0
1782702000,24740.7,24778.9,24717.9,24772.9,2607.0
1782705600,24772.9,24789.9,24733.9,24759.9,3713.0
1782709200,24760.9,24796.9,24721.9,24790.9,2576.0
1782712800,24790.9,24813.9,24769.9,24804.9,1625.0
1782716400,24804.9,24804.9,24763.9,24769.9,1592.0
1782720000,24769.9,24833.9,24756.9,24826.9,2187.0
