ts,o,h,l,c,v
1782090000,24983.3,24987.6,24903.8,24959.6,1597.0
1782091800,24959.1,24959.9,24934.1,24943.0,1355.0
1782093600,24942.3,24943.2,24886.3,24907.5,1873.0
1782095400,24907.7,24910.9,24843.7,24851.5,2253.0
1782097200,24945.9,25006.1,24945.9,25001.1,617.0
1782099000,25001.1,25028.1,24995.1,25024.1,608.0
1782100800,25026.1,25050.1,25025.1,25049.1,898.0
1782102600,25049.1,25049.1,24997.1,25002.1,533.0
1782104400,25001.1,25017.1,24988.1,25000.1,631.0
1782106200,25000.1,25000.1,24981.1,24984.1,379.0
1782108000,24984.1,24989.1,24965.1,24987.1,420.0
1782109800,24987.1,25003.1,24976.1,24981.1,382.0
1782111600,24981.1,24992.1,24970.1,24974.1,475.0
1782113400,24974.1,24996.1,24962.1,24995.1,588.0
1782115200,24995.1,25040.1,24995.1,25036.1,647.0
1782117000,25036.1,25043.1,25016.1,25039.1,508.0
1782118800,25040.1,25078.7,25027.7,25076.7,996.0
1782120600,25076.7,25102.7,25064.7,25093.7,817.0
1782122400,25097.7,25097.7,25041.7,25091.7,2442.0
1782124200,25092.7,25108.7,25009.7,25036.7,1933.0
1782126000,25036.7,25040.7,24988.7,25009.7,2051.0
1782127800,25010.7,25014.7,24967.7,24972.7,1661.0
1782129600,24972.7,25000.7,24954.7,24970.7,1608.0
1782131400,24970.7,24981.7,24923.7,24923.7,1498.0
1782133200,24923.7,24960.7,24918.7,24949.7,1446.0
1782135000,24948.7,24963.7,24934.7,24934.7,1208.0
1782136800,24935.7,24991.7,24920.7,24982.7,1712.0
1782138600,24982.7,25023.7,24978.7,25022.7,1278.0
1782140400,25022.7,25048.7,24996.7,25047.7,1383.0
1782142200,25047.7,25056.7,25030.7,25047.7,1250.0
1782144000,25047.7,25117.7,25047.7,25107.7,1880.0
1782145800,25107.7,25176.7,25104.7,25174.7,2407.0
1782147600,25174.7,25202.7,25146.7,25151.7,2151.0
1782149400,25152.7,25160.7,25109.7,25139.7,2324.0
1782151200,25139.7,25182.7,25116.7,25182.7,2099.0
1782153000,25178.7,25195.7,25125.7,25133.7,1828.0
1782154800,25136.7,25136.7,25104.7,25122.7,1570.0
1782156600,25122.7,25131.7,25101.7,25118.7,1349.0
1782158400,25119.7,25120.7,25096.7,25104.7,975.0
1782160200,25104.7,25122.7,25088.7,25115.7,1001.0
1782162000,25115.7,25134.7,25109.7,25124.7,963.0
1782163800,25125.7,25135.7,25098.7,25100.7,1047.0
1782165600,25100.7,25111.7,25091.7,25102.7,1179.0
1782167400,25102.7,25124.7,25100.7,25119.7,1160.0
1782169200,25092.1,25109.5,25083.3,25084.3,2038.0
1782171000,25084.3,25098.7,25083.5,25087.5,940.0
1782176400,25102.3,25104.0,25080.5,25089.0,885.0
1782178200,25088.3,25089.5,25050.5,25057.3,1154.0
1782180000,25057.5,25060.0,25040.3,25053.7,547.0
1782181800,25053.9,25058.5,25045.8,25056.4,620.0
1782183600,25056.4,25077.6,25054.4,25072.6,444.0
1782185400,25071.6,25125.6,25064.6,25111.6,1059.0
1782187200,25111.6,25121.6,25095.6,25103.6,1086.0
1782189000,25103.6,25106.6,25058.6,25078.6,1372.0
1782190800,25078.6,25087.6,25040.6,25062.6,1142.0
1782192600,25062.6,25062.6,25022.6,25026.6,752.0
1782194400,25026.6,25030.6,24985.6,24998.6,871.0
1782196200,24998.6,25009.6,24946.6,25008.6,967.0
1782198000,25008.6,25015.6,24965.6,24991.6,708.0
1782199800,24991.6,24995.6,24938.6,24945.6,718.0
1782201600,24946.6,24966.6,24897.6,24913.6,1121.0
1782203400,24913.6,24934.6,24905.6,24911.6,1170.0
1782205200,24911.6,24939.2,24880.2,24883.2,1808.0
1782207000,24884.2,24920.2,24856.2,24860.2,1440.0
1782208800,24861.2,24906.2,24794.2,24832.2,3265.0
1782210600,24831.2,24880.2,24792.2,24812.2,2327.0
1782212400,24812.2,24821.2,24748.2,24767.2,2875.0
1782214200,24768.2,24822.2,24758.2,24797.2,2112.0
1782216000,24797.2,24841.2,24779.2,24837.2,1847.0
1782217800,24837.2,24884.2,24816.2,24875.2,1486.0
1782219600,24877.2,24937.2,24873.2,24911.2,1421.0
1782221400,24911.2,24916.2,24859.2,24881.2,1396.0
1782223200,24879.2,24958.2,24861.2,24895.2,1679.0
1782225000,24894.2,24940.2,24882.2,24929.2,1416.0
1782226800,24930.2,24951.2,24898.2,24913.2,1525.0
1782228600,24913.2,24941.2,24884.2,24932.2,1519.0
1782230400,24934.2,24935.2,24879.2,24891.2,1662.0
1782232200,24891.2,24970.7,24879.2,24969.7,2826.0
1782234000,24969.7,25017.7,24956.7,25001.7,2135.0
1782235800,25001.7,25003.7,24948.7,24981.7,2165.0
1782237600,24981.7,25005.7,24954.7,24965.7,1946.0
1782239400,24964.7,24968.7,24901.7,24960.7,2006.0
1782241200,24960.7,24988.7,24957.7,24980.7,1447.0
1782243000,24981.7,24999.7,24976.7,24990.7,1253.0
1782244800,24989.7,24995.7,24965.7,24985.7,1193.0
1782246600,24985.7,24996.7,24955.7,24957.7,1094.0
1782248400,24958.7,24973.7,24946.7,24953.7,1126.0
1782250200,24952.7,24956.7,24909.7,24927.7,1266.0
1782252000,24929.7,24962.7,24921.7,24955.7,1703.0
1782253800,24955.7,24957.7,24914.7,24925.7,1616.0
1782255600,24899.1,24915.2,24887.0,24913.7,2057.0
1782257400,24913.0,24931.5,24909.6,24923.9,909.0
1782262800,24935.6,24949.7,24910.6,24911.6,1605.0
1782264600,24912.1,24920.3,24877.5,24888.7,1725.0
1782266400,24888.9,24902.3,24850.3,24899.6,1630.0
1782268200,24899.4,24936.0,24876.6,24929.3,2810.0
1782270000,24981.7,24983.7,24927.9,24950.9,918.0
1782271800,24950.9,24971.9,24940.9,24957.9,1131.0
1782273600,24958.9,24962.9,24927.9,24960.9,1369.0
1782275400,24960.9,24976.9,24950.9,24967.9,1100.0
1782277200,24965.9,24970.9,24936.9,24953.9,977.0
1782279000,24953.9,24961.9,24890.9,24890.9,1040.0
1782280800,24890.9,24943.9,24883.9,24943.9,1245.0
1782282600,24943.9,24958.9,24908.9,24914.9,890.0
1782284400,24914.9,24917.9,24857.9,24873.9,729.0
1782286200,24873.9,24919.9,24873.9,24909.9,799.0
1782288000,24909.9,24949.9,24907.9,24928.9,1011.0
1782289800,24929.9,24966.9,24928.9,24940.4,909.0
1782291600,24941.9,24944.9,24914.5,24924.5,1170.0
1782293400,24925.5,24957.5,24897.5,24897.5,816.0
1782295200,24893.5,24893.5,24758.5,24760.5,2995.0
1782297000,24760.5,24779.5,24687.5,24719.5,2601.0
1782298800,24719.5,24761.5,24708.5,24723.5,2367.0
1782300600,24723.5,24742.5,24708.5,24722.5,1830.0
1782302400,24722.5,24733.5,24685.5,24704.5,1650.0
1782304200,24704.5,24718.5,24664.5,24677.5,1626.0
1782306000,24677.5,24695.5,24639.5,24693.5,1597.0
1782307800,24693.5,24694.5,24656.5,24657.5,1398.0
1782309600,24658.5,24684.5,24625.5,24659.5,1496.0
1782311400,24659.5,24690.5,24640.5,24686.5,1669.0
1782313200,24686.5,24716.5,24666.5,24700.5,1582.0
1782315000,24700.5,24703.5,24637.5,24650.5,1426.0
1782316800,24651.5,24672.5,24610.5,24654.5,1857.0
1782318600,24652.5,24712.5,24619.5,24681.5,3220.0
1782320400,24681.5,24691.5,24635.5,24659.5,2703.0
1782322200,24659.5,24733.5,24658.5,24727.5,2176.0
1782324000,24728.5,24745.5,24675.5,24741.5,1931.0
1782325800,24741.5,24779.5,24741.5,24753.5,1823.0
1782327600,24754.5,24775.5,24751.5,24763.5,1246.0
1782329400,24763.5,24768.5,24717.5,24727.5,1588.0
1782331200,24727.5,24747.5,24678.5,24678.5,2126.0
1782333000,24679.5,24700.5,24654.5,24676.5,2526.0
1782334800,24676.5,24738.5,24668.5,24730.5,2214.0
1782336600,24730.5,24735.5,24666.5,24680.5,2040.0
1782338400,24680.5,24702.5,24652.5,24685.5,1988.0
1782340200,24686.5,24727.5,24673.5,24711.5,1904.0
1782342000,24674.1,24781.8,24668.1,24775.1,4244.0
1782343800,24774.9,24794.5,24750.8,24788.1,2428.0
1782349200,24800.9,24801.9,24749.5,24755.2,1905.0
1782351000,24755.7,24760.5,24745.0,24746.9,1102.0
1782352800,24746.4,24754.9,24739.2,24749.9,833.0
1782354600,24750.4,24770.6,24742.8,24751.2,1424.0
1782356400,24778.7,24788.1,24735.8,24749.8,722.0
1782358200,24748.8,24766.8,24736.8,24755.8,1693.0
1782360000,24755.8,24782.8,24745.8,24767.8,1739.0
1782361800,24767.8,24774.8,24720.8,24724.8,1511.0
1782363600,24725.8,24737.8,24703.8,24716.8,1854.0
1782365400,24716.8,24728.8,24704.8,24727.8,958.0
1782367200,24727.8,24744.8,24724.8,24729.8,991.0
1782369000,24729.8,24739.8,24707.8,24737.8,839.0
1782370800,24738.8,24745.8,24714.8,24733.8,600.0
1782372600,24732.8,24756.3,24722.8,24750.8,616.0
1782374400,24750.8,24778.8,24736.8,24772.8,522.0
1782376200,24772.8,24798.8,24763.8,24771.8,749.0
1782378000,24771.8,24790.4,24755.4,24768.4,895.0
1782379800,24768.4,24814.4,24763.4,24814.4,786.0
1782381600,24814.4,24863.4,24780.4,24834.4,2590.0
1782383400,24834.4,24876.4,24831.4,24876.4,1540.0
1782385200,24876.4,24893.4,24841.4,24874.4,1578.0
1782387000,24873.4,24916.4,24870.4,24893.4,1353.0
1782388800,24894.4,24937.4,24892.4,24905.4,1201.0
1782390600,24905.4,24934.4,24892.4,24931.4,1184.0
1782392400,24931.4,24945.4,24908.4,24934.4,1050.0
1782394200,24934.4,24951.4,24917.4,24941.4,964.0
1782396000,24942.4,24947.4,24883.4,24892.4,1141.0
