ts,o,h,l,c,v
1781913600,30235.6,30314.5,30234.0,30311.7,7960.0
1781917200,30312.2,30341.5,30289.5,30331.2,7782.0
1781920800,30331.3,30347.6,30293.6,30307.8,8330.0
1781924400,30308.1,30314.7,30221.2,30255.8,9168.0
1781928000,30254.8,30282.5,30219.6,30272.8,8229.0
1781931600,30273.7,30351.0,30210.1,30334.2,9989.0
1781935200,30334.7,30375.8,30308.7,30364.4,11984.0
1781938800,30363.6,30379.8,30330.5,30372.3,10697.0
1781942400,30371.6,30386.5,30335.4,30366.0,9566.0
1781946000,30366.1,30383.9,30322.6,30322.6,6549.0
1782079200,30270.8,30302.2,30152.0,30208.2,10982.0
1782082800,30270.8,30302.2,30152.0,30208.2,10982.0
1782086400,30208.8,30209.2,30023.7,30039.4,11994.0
1782090000,30288.7,30330.0,30179.6,30235.7,10567.0
1782093600,30236.6,30237.6,30051.2,30066.5,11338.0
1782097200,30067.7,30336.9,30061.1,30330.6,13703.0
1782100800,30330.7,30372.4,30318.4,30320.7,12341.0
1782104400,30320.9,30338.4,30291.5,30298.1,11164.0
1782108000,30299.0,30329.2,30259.6,30269.2,9971.0
1782111600,30269.9,30305.2,30238.1,30296.6,10636.0
1782115200,30296.6,30376.6,30285.9,30354.1,11055.0
1782118800,30354.9,30456.0,30351.5,30450.8,9496.0
1782122400,30452.0,30495.0,30447.3,30472.3,9580.0
1782126000,30471.5,30478.8,30401.6,30444.0,10470.0
1782129600,30444.3,30469.8,30412.5,30413.2,9420.0
1782133200,30414.1,30479.1,30414.0,30433.6,8922.0
1782135000,30531.154296875,30641.5234375,30432.54296875,30446.107421875,0.0
1782136800,30436.2,30540.1,30425.1,30469.8,10630.0
1782138600,30434.216796875,30434.216796875,30238.67578125,30280.53515625,193958612.0
1782140400,30470.8,30558.3,30465.8,30515.0,10660.0
1782142200,30284.2109375,30361.833984375,30194.791015625,30277.744140625,145680190.0
1782144000,30519.8,30649.9,30471.4,30648.7,14829.0
1782145800,30276.671875,30299.166015625,30213.048828125,30286.09375,112035094.0
1782147600,30650.7,30679.6,30259.6,30352.6,16802.0
1782149400,30286.04296875,30350.884765625,30251.40234375,30318.271484375,102238176.0
1782151200,30353.0,30392.7,30255.6,30270.4,16285.0
1782153000,30319.5546875,30336.65234375,30226.806640625,30237.73046875,121020926.0
1782154800,30271.1,30328.9,30218.1,30302.1,15713.0
