ts,o,h,l,c,v
1782090000,30288.7,30330.0,30179.6,30266.6,6029.0
1782091800,30266.6,30284.9,30213.5,30235.7,4538.0
1782093600,30236.6,30237.6,30135.7,30153.1,5429.0
1782095400,30153.4,30161.2,30051.2,30066.5,5909.0
1782097200,30067.7,30279.2,30061.1,30278.9,7381.0
1782099000,30278.9,30336.9,30263.6,30330.6,6322.0
1782100800,30330.7,30372.0,30327.2,30364.9,6333.0
1782102600,30364.7,30372.4,30318.4,30320.7,6008.0
1782104400,30320.9,30338.4,30302.6,30302.6,5874.0
1782106200,30302.6,30314.7,30291.5,30298.1,5290.0
1782108000,30299.0,30322.9,30263.6,30316.7,5106.0
1782109800,30316.7,30329.2,30259.6,30269.2,4865.0
1782111600,30269.9,30297.5,30257.0,30260.7,5041.0
1782113400,30260.6,30305.2,30238.1,30296.6,5595.0
1782115200,30296.6,30376.6,30285.9,30373.0,5384.0
1782117000,30372.2,30375.1,30342.9,30354.1,5671.0
1782118800,30354.9,30451.6,30351.5,30444.0,5352.0
1782120600,30443.5,30456.0,30418.6,30450.8,4144.0
1782122400,30452.0,30495.0,30447.3,30487.7,5119.0
1782124200,30487.8,30493.2,30459.3,30472.3,4461.0
1782126000,30471.5,30478.8,30401.6,30414.3,5615.0
1782127800,30415.0,30455.2,30406.3,30444.0,4855.0
1782129600,30444.3,30469.8,30424.0,30445.2,4929.0
1782131400,30445.3,30447.5,30412.5,30413.2,4491.0
1782133200,30414.1,30479.1,30414.0,30454.8,4591.0
1782135000,30454.5,30454.5,30416.8,30433.6,4331.0
1782136800,30436.2,30540.1,30425.1,30452.0,5755.0
1782138600,30451.5,30484.7,30442.6,30469.8,4875.0
1782140400,30470.8,30539.8,30465.8,30537.2,5116.0
1782142200,30537.2,30558.3,30510.3,30515.0,5544.0
1782144000,30519.8,30584.6,30519.8,30534.5,6314.0
1782145800,30541.0,30649.9,30471.4,30648.7,8515.0
1782147600,30650.7,30679.6,30458.9,30469.9,8329.0
1782149400,30472.6,30475.4,30259.6,30352.6,8473.0
1782151200,30353.0,30392.7,30297.2,30312.5,8255.0
1782153000,30313.5,30387.1,30255.6,30270.4,8030.0
1782154800,30271.1,30328.9,30218.1,30303.7,7978.0
1782156600,30303.0,30316.1,30236.9,30302.1,7735.0
1782158400,30303.0,30324.5,30247.1,30310.1,7247.0
1782160200,30310.9,30363.6,30273.1,30328.5,7079.0
1782162000,30328.5,30376.7,30315.5,30341.5,6690.0
1782163800,30341.2,30360.5,30264.7,30272.2,6910.0
1782165600,30276.4,30310.4,30248.2,30266.1,7142.0
1782167400,30265.9,30385.4,30265.9,30364.9,7360.0
1782169200,30367.1,30391.1,30353.9,30362.2,4947.0
1782171000,30362.2,30386.0,30361.0,30383.2,2845.0
1782176400,30370.8,30416.2,30352.5,30358.2,2946.0
1782178200,30358.3,30361.1,30284.6,30299.6,3452.0
1782180000,30299.6,30304.8,30262.8,30288.7,2763.0
1782181800,30289.2,30295.2,30258.2,30293.3,3157.0
1782183600,30292.5,30319.1,30178.7,30211.7,6678.0
1782185400,30212.7,30352.5,30199.3,30318.3,7016.0
1782187200,30319.0,30333.0,30267.8,30282.5,7188.0
1782189000,30283.1,30289.8,30124.0,30177.2,7433.0
1782190800,30179.6,30190.7,30118.8,30172.6,7105.0
1782192600,30173.0,30175.1,30108.2,30122.3,6305.0
1782194400,30122.3,30130.0,30069.7,30083.6,6239.0
1782196200,30082.5,30119.0,30019.0,30117.5,6695.0
1782198000,30118.6,30131.7,30023.8,30047.8,6143.0
1782199800,30047.3,30047.7,29948.6,29959.1,6087.0
1782201600,29960.1,29985.7,29898.6,29903.8,6712.0
1782203400,29904.0,29906.8,29810.6,29825.6,6744.0
1782205200,29826.7,29850.9,29721.7,29738.6,7411.0
1782207000,29739.1,29770.8,29668.2,29688.3,6536.0
1782208800,29689.7,29771.2,29662.7,29727.2,6849.0
1782210600,29727.2,29727.2,29607.8,29625.6,6863.0
1782212400,29631.6,29636.2,29494.8,29517.2,7584.0
1782214200,29518.1,29594.6,29498.3,29545.7,6941.0
1782216000,29547.4,29650.1,29541.4,29634.1,6329.0
1782217800,29634.3,29635.8,29575.1,29603.6,5800.0
1782219600,29603.9,29633.9,29534.6,29542.2,5800.0
1782221400,29541.1,29543.1,29469.9,29535.1,6194.0
1782223200,29540.1,29585.3,29505.4,29530.4,6522.0
1782225000,29529.3,29601.1,29519.3,29589.9,6282.0
1782226800,29590.2,29617.9,29462.2,29493.1,6517.0
1782228600,29493.1,29508.2,29425.4,29452.6,6852.0
1782230400,29451.9,29472.2,29393.7,29435.7,7267.0
1782232200,29436.8,29650.1,29335.9,29647.2,8588.0
1782234000,29644.6,29764.0,29640.7,29700.6,8409.0
1782235800,29703.5,29714.8,29531.6,29572.3,8420.0
1782237600,29571.7,29602.8,29429.1,29444.6,8166.0
1782239400,29443.6,29538.3,29413.6,29515.3,8096.0
1782241200,29515.3,29632.7,29508.0,29595.5,7918.0
1782243000,29595.2,29623.7,29549.1,29581.7,7784.0
1782244800,29583.0,29608.7,29510.3,29583.2,7764.0
1782246600,29584.2,29613.7,29449.7,29449.8,7599.0
1782248400,29453.6,29499.7,29427.6,29452.2,7436.0
1782250200,29450.7,29458.8,29295.0,29347.2,7376.0
1782252000,29349.7,29470.3,29330.6,29429.5,8099.0
1782253800,29430.1,29461.8,29360.7,29363.3,8055.0
1782255600,29369.7,29461.2,29350.8,29452.3,5371.0
1782257400,29452.3,29469.0,29433.7,29468.8,3643.0
1782262800,29501.7,29523.4,29421.7,29425.6,4639.0
1782264600,29426.1,29448.2,29353.6,29399.7,4728.0
1782266400,29399.7,29414.1,29308.5,29401.5,4603.0
1782268200,29401.9,29485.0,29341.4,29468.9,5520.0
1782270000,29467.5,29578.0,29457.4,29569.0,7616.0
1782271800,29569.1,29611.9,29536.0,29566.0,7224.0
1782273600,29570.4,29572.2,29482.6,29537.5,7556.0
1782275400,29536.6,29571.9,29527.2,29548.1,7108.0
1782277200,29548.1,29558.5,29483.4,29516.4,6543.0
1782279000,29516.5,29530.9,29356.9,29358.9,6577.0
1782280800,29358.4,29470.5,29336.6,29468.9,6972.0
1782282600,29469.5,29499.6,29431.2,29466.4,6628.0
1782284400,29467.5,29470.0,29375.0,29389.0,6409.0
1782286200,29389.5,29511.1,29388.7,29505.6,6624.0
1782288000,29505.6,29582.9,29500.1,29555.6,6720.0
1782289800,29556.2,29604.6,29533.7,29540.4,6140.0
1782291600,29540.7,29572.3,29518.5,29535.0,6190.0
1782293400,29536.8,29585.2,29532.2,29544.2,4953.0
1782295200,29543.7,29561.1,29506.2,29514.2,6255.0
1782297000,29514.2,29556.1,29484.1,29491.0,5859.0
1782298800,29492.0,29584.3,29484.1,29559.0,6310.0
1782300600,29559.5,29587.5,29524.8,29539.8,5312.0
1782302400,29539.0,29564.3,29514.6,29528.0,5491.0
1782304200,29527.8,29535.0,29475.2,29529.8,5285.0
1782306000,29529.5,29541.8,29495.7,29537.6,4940.0
1782307800,29537.6,29572.2,29509.5,29514.5,4765.0
1782309600,29514.5,29545.7,29456.2,29475.2,5540.0
1782311400,29475.5,29585.1,29472.5,29582.0,5854.0
1782313200,29582.0,29593.2,29544.1,29572.6,5998.0
1782315000,29572.6,29585.6,29473.3,29483.2,5827.0
1782316800,29484.2,29510.3,29413.3,29433.0,7176.0
1782318600,29432.7,29561.6,29285.7,29406.2,8612.0
1782320400,29413.6,29451.7,29247.6,29425.9,8542.0
1782322200,29426.0,29613.4,29424.6,29611.2,8371.0
1782324000,29614.0,29626.9,29425.2,29522.4,8194.0
1782325800,29520.7,29548.0,29421.2,29477.2,8096.0
1782327600,29476.9,29525.0,29453.0,29474.4,7850.0
1782329400,29473.9,29474.2,29317.1,29327.1,7967.0
1782331200,29327.0,29381.6,29124.7,29131.5,8011.0
1782333000,29134.4,29185.2,29086.6,29109.1,8270.0
1782334800,29112.5,29283.4,29098.9,29260.2,8159.0
1782336600,29260.2,29276.4,29045.7,29066.0,8080.0
1782338400,29070.0,29133.5,28987.2,29105.1,8155.0
1782340200,29108.9,29247.9,29078.2,29235.9,8179.0
1782342000,29236.1,29749.7,29209.0,29730.5,8016.0
1782343800,29730.4,29877.1,29687.2,29809.4,6880.0
1782349200,29827.3,29891.9,29778.8,29781.9,5125.0
1782351000,29782.1,29804.3,29771.7,29775.6,3823.0
