ts,o,h,l,c,v
1782090000,78.633,78.853,78.103,78.403,1220.0
1782091800,78.403,78.423,77.993,78.243,491.0
1782093600,78.243,78.523,78.223,78.503,433.0
1782095400,78.503,78.623,78.383,78.453,370.0
1782097200,78.453,78.593,77.913,78.023,594.0
1782099000,78.023,78.463,77.703,77.783,707.0
1782100800,77.783,77.793,76.433,76.503,1973.0
1782102600,76.523,76.593,76.263,76.533,993.0
1782104400,76.533,76.553,76.183,76.253,606.0
1782106200,76.253,76.253,75.793,76.103,757.0
1782108000,76.103,76.553,76.073,76.543,626.0
1782109800,76.543,76.623,76.333,76.423,397.0
1782111600,76.413,76.483,76.263,76.373,270.0
1782113400,76.373,76.373,76.183,76.183,284.0
1782115200,76.183,76.183,75.853,75.853,389.0
1782117000,75.853,76.183,75.803,76.073,803.0
1782118800,76.083,76.143,75.693,75.913,783.0
1782120600,75.913,76.253,75.873,76.103,827.0
1782122400,76.133,76.323,75.983,76.213,830.0
1782124200,76.213,76.773,76.153,76.413,1035.0
1782126000,76.413,76.963,76.143,76.183,1781.0
1782127800,76.183,76.453,75.873,76.003,1093.0
1782129600,75.993,76.243,75.873,76.073,898.0
1782131400,76.073,76.253,75.893,76.123,836.0
1782133200,76.123,76.203,75.963,76.143,722.0
1782135000,76.153,76.243,76.033,76.103,603.0
1782136800,76.103,76.243,75.413,76.193,1302.0
1782138600,76.193,76.233,75.693,75.783,841.0
1782140400,75.783,75.863,75.293,75.383,961.0
1782142200,75.383,75.593,75.213,75.303,1014.0
1782144000,75.303,75.823,74.923,75.013,1768.0
1782145800,75.003,75.073,74.293,74.543,1962.0
1782147600,74.543,74.743,74.293,74.643,1441.0
1782149400,74.633,75.093,74.623,74.793,1327.0
1782151200,74.803,74.813,74.053,74.403,1667.0
1782153000,74.403,74.523,74.023,74.183,1227.0
1782154800,74.183,74.483,74.143,74.433,738.0
1782156600,74.433,74.603,74.333,74.343,775.0
1782158400,74.343,74.493,74.223,74.303,680.0
1782160200,74.303,74.533,74.073,74.103,773.0
1782162000,74.103,74.703,74.103,74.683,1274.0
1782163800,74.673,74.833,74.453,74.783,534.0
1782165600,74.783,75.003,74.773,74.983,359.0
1782167400,74.983,75.133,74.953,75.053,312.0
1782169200,75.053,75.073,74.763,74.793,294.0
1782171000,74.793,74.873,74.753,74.853,229.0
1782176400,74.853,74.986,74.776,74.976,188.0
1782178200,74.976,75.176,74.966,75.066,132.0
1782180000,75.066,75.066,74.856,74.896,132.0
1782181800,74.906,74.956,74.856,74.916,82.0
1782183600,74.906,74.996,74.806,74.876,281.0
1782185400,74.876,74.976,74.766,74.966,305.0
1782187200,74.956,75.006,74.536,74.926,823.0
1782189000,74.926,75.006,74.656,74.676,498.0
1782190800,74.676,74.836,74.526,74.806,335.0
1782192600,74.806,75.056,74.666,74.666,606.0
1782194400,74.666,74.666,74.346,74.366,725.0
1782196200,74.366,74.506,74.326,74.376,238.0
1782198000,74.376,74.496,74.346,74.376,206.0
1782199800,74.376,74.526,74.326,74.486,334.0
1782201600,74.486,74.536,74.316,74.326,225.0
1782203400,74.326,74.346,73.766,73.836,826.0
1782205200,73.836,73.936,73.606,73.616,890.0
1782207000,73.616,73.896,73.306,73.676,944.0
1782208800,73.676,73.716,73.246,73.276,820.0
1782210600,73.306,73.956,73.256,73.906,998.0
1782212400,73.906,74.446,73.906,74.386,1436.0
1782214200,74.366,74.606,74.156,74.196,945.0
1782216000,74.196,74.406,73.966,73.966,792.0
1782217800,73.966,74.346,73.926,74.266,666.0
1782219600,74.256,74.496,74.116,74.466,660.0
1782221400,74.466,74.706,74.346,74.636,769.0
1782223200,74.646,74.736,74.356,74.546,813.0
1782225000,74.556,74.816,74.396,74.596,840.0
1782226800,74.596,74.646,73.966,74.046,873.0
1782228600,74.036,74.386,73.966,74.356,811.0
1782230400,74.376,74.476,73.746,73.836,1241.0
1782232200,73.826,74.036,73.636,73.726,1334.0
1782234000,73.726,73.756,73.276,73.356,1122.0
1782235800,73.356,74.136,73.356,73.916,1712.0
1782237600,73.946,74.236,73.766,73.866,1287.0
1782239400,73.856,73.966,73.476,73.746,1096.0
1782241200,73.746,73.996,73.746,73.836,681.0
1782243000,73.836,73.846,73.576,73.716,595.0
1782244800,73.726,74.046,73.726,73.996,713.0
1782246600,74.006,74.066,73.746,73.786,787.0
1782248400,73.796,74.176,73.796,74.026,1105.0
1782250200,74.046,74.146,73.926,74.106,440.0
1782252000,74.106,74.166,73.976,74.116,302.0
1782253800,74.116,74.166,74.026,74.066,271.0
1782255600,74.066,74.256,74.036,74.056,188.0
1782257400,74.056,74.086,73.776,73.816,269.0
1782262800,73.818,73.908,73.768,73.848,153.0
1782264600,73.848,73.858,73.608,73.658,132.0
1782266400,73.658,73.688,73.568,73.588,125.0
1782268200,73.588,73.618,73.368,73.408,181.0
1782270000,73.408,73.678,73.378,73.608,440.0
1782271800,73.608,73.608,73.468,73.548,296.0
1782273600,73.538,73.738,73.068,73.718,971.0
1782275400,73.728,73.778,73.308,73.388,643.0
1782277200,73.398,73.628,73.378,73.478,363.0
1782279000,73.478,73.478,72.878,72.908,772.0
1782280800,72.908,73.158,72.808,73.098,550.0
1782282600,73.098,73.198,73.048,73.148,200.0
1782284400,73.148,73.488,73.148,73.398,243.0
1782286200,73.398,73.428,73.318,73.388,146.0
1782288000,73.388,73.498,73.308,73.378,226.0
1782289800,73.378,73.458,73.158,73.208,594.0
1782291600,73.208,73.888,73.208,73.378,1071.0
1782293400,73.378,73.388,73.178,73.318,826.0
1782295200,73.338,73.348,72.818,72.928,907.0
1782297000,72.928,73.068,72.648,72.678,866.0
1782298800,72.678,72.788,72.488,72.488,1434.0
1782300600,72.478,72.838,72.418,72.768,983.0
1782302400,72.768,72.808,72.268,72.428,974.0
1782304200,72.418,72.868,72.408,72.708,959.0
1782306000,72.708,72.998,72.598,72.728,862.0
1782307800,72.728,72.878,72.448,72.538,698.0
1782309600,72.538,72.618,72.118,72.178,701.0
1782311400,72.178,72.448,71.648,71.668,1304.0
1782313200,71.668,71.888,71.568,71.818,1162.0
1782315000,71.808,71.918,71.658,71.748,897.0
1782316800,71.748,71.778,70.748,70.778,1855.0
1782318600,70.788,70.998,70.408,70.488,1891.0
1782320400,70.478,71.098,70.368,70.878,1538.0
1782322200,70.878,70.948,70.448,70.588,1490.0
1782324000,70.588,70.778,70.408,70.728,1446.0
1782325800,70.738,71.308,70.638,71.208,1287.0
1782327600,71.208,71.428,71.008,71.358,851.0
1782329400,71.358,71.658,71.178,71.248,800.0
1782331200,71.258,71.378,70.858,70.938,799.0
1782333000,70.938,71.238,70.768,71.198,823.0
1782334800,71.218,71.238,70.858,71.138,1094.0
1782336600,71.138,71.158,70.648,70.678,608.0
1782338400,70.678,70.808,70.618,70.808,382.0
1782340200,70.808,70.848,70.688,70.758,344.0
1782342000,70.748,70.758,70.498,70.578,305.0
1782343800,70.588,70.618,70.508,70.578,232.0
1782349200,70.661,70.711,70.401,70.531,191.0
1782351000,70.531,70.601,70.491,70.571,101.0
1782352800,70.571,70.651,70.551,70.651,83.0
1782354600,70.651,70.711,70.581,70.701,117.0
1782356400,70.701,70.851,70.641,70.801,273.0
1782358200,70.801,70.911,70.641,70.681,241.0
1782360000,70.681,70.761,70.071,70.111,1219.0
1782361800,70.111,70.131,69.811,70.041,910.0
1782363600,70.041,70.081,69.761,69.861,589.0
1782365400,69.861,70.191,69.821,70.071,659.0
1782367200,70.071,70.121,69.751,69.861,633.0
1782369000,69.861,70.031,69.841,70.011,272.0
1782370800,70.011,70.121,69.961,70.051,230.0
1782372600,70.051,70.251,70.031,70.181,197.0
1782374400,70.181,70.201,70.051,70.191,200.0
1782376200,70.191,70.301,69.911,70.051,629.0
1782378000,70.051,70.451,69.931,70.441,832.0
1782379800,70.431,70.511,70.101,70.271,860.0
1782381600,70.291,70.701,70.111,70.401,788.0
1782383400,70.401,70.751,70.281,70.651,803.0
1782385200,70.641,70.741,70.121,70.201,1383.0
1782387000,70.191,70.391,69.741,69.911,1267.0
1782388800,69.911,70.351,69.601,70.081,1184.0
1782390600,70.081,70.291,70.041,70.271,841.0
1782392400,70.271,70.341,70.121,70.221,662.0
1782394200,70.221,70.341,70.061,70.111,549.0
1782396000,70.111,70.391,69.961,70.391,623.0
1782397800,70.391,70.641,70.351,70.491,645.0
1782399600,70.501,70.631,70.291,70.601,739.0
1782401400,70.601,70.641,70.021,70.241,1101.0
1782403200,70.221,70.881,70.151,70.571,1495.0
1782405000,70.571,71.161,70.451,71.141,1459.0
1782406800,71.131,71.681,71.051,71.641,1442.0
1782408600,71.631,71.651,71.251,71.511,1354.0
1782410400,71.511,72.451,71.461,72.041,1869.0
1782412200,72.061,72.201,71.911,72.131,1196.0
1782414000,72.131,72.381,72.131,72.301,924.0
1782415800,72.301,72.371,72.111,72.241,712.0
1782417600,72.241,72.481,72.001,72.211,849.0
1782419400,72.211,72.481,72.121,72.471,812.0
1782421200,72.481,72.711,72.431,72.661,1241.0
1782423000,72.671,72.921,72.651,72.821,912.0
1782424800,72.821,73.191,72.811,72.991,553.0
1782426600,72.991,73.001,72.601,72.731,521.0
1782428400,72.731,72.871,72.481,72.481,276.0
1782430200,72.481,72.511,72.071,72.151,444.0
1782435600,72.104,72.274,71.944,72.024,230.0
1782437400,72.024,72.184,72.004,72.174,93.0
1782439200,72.174,72.194,72.104,72.174,136.0
1782441000,72.174,72.224,72.124,72.184,100.0
1782442800,72.184,72.454,72.104,72.354,384.0
1782444600,72.354,72.474,72.224,72.464,194.0
1782446400,72.464,72.504,72.124,72.234,1014.0
1782448200,72.234,72.244,71.894,71.904,601.0
1782450000,71.904,71.964,71.814,71.854,405.0
1782451800,71.854,71.854,71.464,71.484,572.0
1782453600,71.484,71.494,71.194,71.344,600.0
1782455400,71.344,71.404,71.154,71.244,252.0
1782457200,71.244,71.314,71.094,71.144,294.0
1782459000,71.144,71.204,71.064,71.074,236.0
1782460800,71.074,71.174,71.014,71.144,299.0
1782462600,71.144,71.604,71.054,71.544,731.0
1782464400,71.554,71.574,71.304,71.344,607.0
1782466200,71.344,71.344,71.014,71.154,743.0
1782468000,71.144,71.204,70.874,70.874,761.0
1782469800,70.874,71.074,70.494,70.544,704.0
1782471600,70.534,70.834,69.704,69.784,1573.0
1782473400,69.794,70.154,69.654,69.964,1240.0
1782475200,69.954,70.184,69.884,70.014,845.0
1782477000,70.004,70.134,69.684,69.744,878.0
1782478800,69.744,70.084,69.634,69.964,823.0
1782480600,69.964,70.244,69.764,70.184,762.0
1782482400,70.174,70.464,70.174,70.394,850.0
1782484200,70.394,71.004,70.364,70.754,906.0
1782486000,70.744,70.784,70.294,70.354,930.0
1782487800,70.354,70.394,70.034,70.044,956.0
1782489600,70.034,71.194,70.014,70.414,2296.0
1782491400,70.424,70.614,69.884,70.064,1739.0
1782493200,70.074,70.184,69.594,69.844,1475.0
1782495000,69.834,69.934,69.504,69.884,1561.0
1782496800,69.884,69.914,69.224,69.414,1645.0
1782498600,69.424,70.174,69.324,69.754,1607.0
1782500400,69.754,69.884,69.604,69.674,1175.0
1782502200,69.674,70.024,69.544,69.974,879.0
1782504000,69.974,69.984,69.704,69.974,681.0
1782505800,69.984,70.184,69.894,69.934,794.0
1782507600,69.934,70.044,69.774,69.914,969.0
1782509400,69.914,69.914,69.734,69.794,423.0
1782511200,69.794,69.904,69.714,69.864,274.0
1782513000,69.864,70.274,69.864,70.184,417.0
1782514800,70.174,70.214,70.034,70.214,352.0
1782516600,70.214,70.954,70.214,70.954,1131.0
1782694800,71.312,71.312,70.382,70.932,1069.0
1782696600,70.932,70.962,70.602,70.622,279.0
1782698400,70.632,70.672,70.422,70.442,232.0
1782700200,70.442,70.512,70.242,70.342,229.0
1782702000,70.352,70.382,69.912,70.362,527.0
1782703800,70.362,70.632,70.332,70.432,399.0
1782705600,70.432,70.852,70.332,70.702,1171.0
1782707400,70.702,70.782,70.542,70.582,644.0
1782709200,70.582,70.692,70.532,70.612,409.0
1782711000,70.612,70.672,70.362,70.532,567.0
1782712800,70.532,70.672,70.482,70.592,453.0
1782714600,70.592,70.682,70.502,70.632,202.0
1782716400,70.632,70.702,70.592,70.612,176.0
1782718200,70.612,70.632,70.532,70.532,165.0
1782720000,70.532,70.552,70.262,70.342,304.0
1782721800,70.342,70.362,70.022,70.072,793.0
1782723600,70.072,70.662,70.042,70.652,775.0
1782725400,70.652,70.872,70.442,70.532,760.0
1782727200,70.539,70.582,70.352,70.532,682.0
1782729000,70.532,70.592,70.062,70.112,685.0
1782730800,70.102,70.802,70.082,70.742,1182.0
1782732600,70.732,70.862,70.502,70.712,948.0
1782734400,70.712,70.942,70.492,70.912,856.0
1782736200,70.912,71.302,70.882,71.182,878.0
1782738000,71.182,71.192,70.452,70.572,782.0
1782739800,70.572,70.682,70.382,70.432,688.0
1782741600,70.442,70.612,70.272,70.592,624.0
1782743400,70.592,70.662,70.202,70.552,827.0
1782745200,70.582,70.722,70.292,70.712,827.0
1782747000,70.712,70.752,70.422,70.622,783.0
1782748800,70.632,70.872,70.472,70.842,1399.0
1782750600,70.842,70.882,70.562,70.662,1144.0
1782752400,70.662,71.052,70.562,71.012,1436.0
1782754200,71.012,71.172,70.872,71.062,970.0
1782756000,71.062,71.122,70.852,71.052,1067.0
1782757800,71.072,71.282,70.992,71.182,819.0
1782759600,71.182,71.422,71.142,71.402,572.0
1782761400,71.402,71.622,71.362,71.392,596.0
1782763200,71.392,71.722,71.262,71.482,679.0
1782765000,71.482,71.572,71.412,71.492,685.0
1782766800,71.502,71.582,71.062,71.402,962.0
1782768600,71.402,71.432,71.032,71.052,468.0
1782770400,71.052,71.132,70.992,71.002,231.0
1782772200,71.002,71.132,70.952,71.112,239.0
1782774000,71.112,71.162,71.052,71.062,133.0
1782775800,71.062,71.182,71.012,71.022,167.0
1782781200,71.025,71.025,70.795,70.925,149.0
1782783000,70.925,70.935,70.815,70.825,83.0
1782784800,70.825,70.875,70.745,70.855,115.0
1782786600,70.855,70.855,70.695,70.695,132.0
1782788400,70.695,70.955,70.695,70.905,296.0
1782790200,70.905,70.905,70.755,70.855,250.0
1782792000,70.855,70.975,70.675,70.755,778.0
1782793800,70.755,70.955,70.695,70.885,604.0
1782795600,70.895,71.035,70.835,70.995,342.0
1782797400,70.995,71.415,70.905,71.235,596.0
1782799200,71.235,71.285,71.015,71.035,466.0
1782801000,71.035,71.155,70.865,70.935,258.0
1782802800,70.935,71.035,70.835,70.835,178.0
1782804600,70.835,70.875,70.765,70.775,158.0
1782806400,70.775,70.785,70.485,70.775,345.0
1782808200,70.775,70.925,70.635,70.665,593.0
1782810000,70.665,70.695,70.365,70.385,761.0
1782811800,70.385,70.765,70.315,70.695,711.0
1782813600,70.665,70.985,70.655,70.895,671.0
1782815400,70.895,70.985,70.715,70.825,712.0
1782817200,70.825,71.325,70.705,71.065,1243.0
1782819000,71.055,71.435,70.945,71.095,1207.0
1782820800,71.095,71.335,71.025,71.265,1080.0
1782822600,71.255,71.605,71.235,71.585,875.0
1782824400,71.585,71.725,71.225,71.255,726.0
1782826200,71.265,71.465,71.105,71.245,693.0
1782828000,71.255,71.365,71.105,71.315,830.0
1782829800,71.315,71.755,71.275,71.715,753.0
1782831600,71.735,72.105,71.595,71.785,972.0
1782833400,71.785,71.785,71.385,71.535,856.0
1782835200,71.515,72.125,71.405,71.785,1795.0
1782837000,71.755,71.755,71.265,71.455,1323.0
1782838800,71.455,71.525,71.115,71.375,1189.0
1782840600,71.375,71.445,70.905,70.985,1320.0
1782842400,70.985,70.995,70.575,70.625,1376.0
1782844200,70.602,70.745,70.285,70.325,1021.0
1782846000,70.335,70.725,70.315,70.545,745.0
1782847800,70.545,70.545,70.315,70.355,567.0
1782849600,70.355,70.455,70.125,70.225,629.0
1782851400,70.225,70.325,70.125,70.235,565.0
1782853200,70.245,70.295,69.795,70.075,965.0
1782855000,70.075,70.585,70.065,70.535,537.0
1782856800,70.545,70.635,70.465,70.585,313.0
1782858600,70.585,70.705,70.585,70.645,310.0
1782860400,70.645,70.725,70.585,70.625,251.0
1782862200,70.625,70.665,70.545,70.625,201.0
1782867600,70.568,70.678,70.428,70.468,143.0
1782869400,70.468,70.528,70.448,70.518,59.0
1782871200,70.518,70.598,70.458,70.558,77.0
1782873000,70.558,70.648,70.488,70.648,109.0
1782874800,70.648,70.718,70.508,70.528,278.0
1782876600,70.528,70.648,70.528,70.648,203.0
1782878400,70.648,70.668,70.368,70.468,724.0
1782880200,70.468,70.508,70.198,70.308,539.0
1782882000,70.308,70.378,70.208,70.298,330.0
1782883800,70.298,70.418,70.258,70.328,428.0
1782885600,70.328,70.398,70.298,70.298,335.0
1782887400,70.298,70.408,70.288,70.338,132.0
1782889200,70.338,70.378,70.268,70.298,115.0
1782891000,70.298,70.298,70.208,70.258,165.0
1782892800,70.258,70.398,70.238,70.298,160.0
1782894600,70.298,70.318,70.108,70.128,440.0
1782896400,70.128,70.228,69.988,70.058,521.0
1782898200,70.058,70.168,69.968,70.118,642.0
1782900000,70.128,70.248,69.858,69.918,628.0
1782901800,69.918,70.058,69.708,69.888,578.0
1782903600,69.888,69.968,69.448,69.478,992.0
1782905400,69.468,69.538,68.828,68.878,1183.0
1782907200,68.878,69.088,68.778,68.998,969.0
1782909000,68.988,69.318,68.978,69.318,822.0
1782910800,69.318,69.548,69.218,69.288,783.0
