ticket,order,zaman,yon,sembol,lot,fiyat,komisyon,swap,kar_zarar,net,yorum,pozisyon_id
1413140502,1705501493,2026-06-15 01:00:17 UTC,SELL,USTEC,5.0,29961.0,0.0,-101.0,1552.5,1451.5,[tp 29732.20],1704802788
1413141082,1705502300,2026-06-15 01:00:23 UTC,BUY,XTIUSD,5.0,81.89,0.0,-219.05,1755.0,1535.95,[tp 84.50],1704667249
1413144557,1705505905,2026-06-15 01:01:13 UTC,BUY,USTEC,5.0,30021.5,0.0,0.0,0.0,0.0,ForexSAI_demo,1705505905
1413144594,1705505922,2026-06-15 01:01:14 UTC,SELL,XTIUSD,5.0,80.87,0.0,0.0,0.0,0.0,ForexSAI_demo,1705505922
1413365875,1705753970,2026-06-15 03:09:44 UTC,SELL,USTEC,5.0,30104.8,0.0,0.0,416.5,416.5,[tp 30105.00],1705505905
1413369346,1705757803,2026-06-15 03:10:30 UTC,BUY,USTEC,5.0,30115.3,0.0,0.0,0.0,0.0,ForexSAI_demo,1705757803
1413641286,1706099033,2026-06-15 06:17:52 UTC,SELL,USTEC,5.0,30195.4,0.0,0.0,400.5,400.5,[tp 30195.30],1705757803
1413641556,1706099378,2026-06-15 06:18:00 UTC,BUY,USTEC,5.0,30196.2,0.0,0.0,0.0,0.0,ForexSAI_demo,1706099378
1413952859,1706477742,2026-06-15 10:32:48 UTC,BUY,XTIUSD,5.0,79.99,0.0,0.0,440.0,440.0,[tp 79.98],1705505922
1413954538,1706479611,2026-06-15 10:33:14 UTC,SELL,XTIUSD,5.0,79.97,0.0,0.0,0.0,0.0,ForexSAI_demo,1706479611
1414035104,1706576586,2026-06-15 11:27:20 UTC,SELL,USTEC,5.0,30276.7,0.0,0.0,402.5,402.5,[tp 30276.20],1706099378
1414035877,1706577441,2026-06-15 11:28:14 UTC,BUY,USTEC,5.0,30282.9,0.0,0.0,0.0,0.0,ForexSAI_demo,1706577441
1414478314,1707113372,2026-06-15 16:32:10 UTC,SELL,USTEC,5.0,30362.1,0.0,0.0,396.0,396.0,[tp 30361.50],1706577441
1414481227,1707116642,2026-06-15 16:32:43 UTC,BUY,USTEC,5.0,30362.5,0.0,0.0,0.0,0.0,ForexSAI_demo,1707116642
1414529870,1707171851,2026-06-15 16:48:23 UTC,SELL,USTEC,5.0,30443.2,0.0,0.0,403.5,403.5,[tp 30442.20],1707116642
1414531446,1707173709,2026-06-15 16:49:08 UTC,BUY,USTEC,5.0,30447.1,0.0,0.0,0.0,0.0,ForexSAI_demo,1707173709
1414762337,1707440134,2026-06-15 18:28:20 UTC,SELL,USTEC,5.0,30525.5,0.0,0.0,392.0,392.0,[tp 30524.90],1707173709
1414763459,1707441367,2026-06-15 18:29:04 UTC,BUY,USTEC,5.0,30530.5,0.0,0.0,0.0,0.0,ForexSAI_demo,1707441367
1415038571,1707766495,2026-06-15 21:29:53 UTC,BUY,XTIUSD,5.0,81.2,0.0,0.0,-615.0,-615.0,[sl 81.17],1706479611
1415235998,1707994103,2026-06-16 01:13:38 UTC,SELL,XTIUSD,5.0,81.24,0.0,0.0,0.0,0.0,ForexSAI_demo,1707994103
1415795747,1708734388,2026-06-16 10:08:05 UTC,BUY,XTIUSD,5.0,80.38,0.0,0.0,430.0,430.0,[tp 80.40],1707994103
1415951728,1708931826,2026-06-16 11:53:40 UTC,SELL,USTEC,5.0,30612.1,0.0,-33.95,408.0,374.05,[tp 30610.90],1707441367
1416819896,1710019329,2026-06-16 20:10:57 UTC,BUY,USTEC,5.0,30151.4,0.0,0.0,0.0,0.0,ForexSAI_demo,1710019329
1416819908,1710019341,2026-06-16 20:10:58 UTC,SELL,DE40,5.0,24825.2,0.0,0.0,0.0,0.0,ForexSAI_demo,1710019341
1416819914,1710019351,2026-06-16 20:10:58 UTC,SELL,XTIUSD,5.0,76.11,0.0,0.0,0.0,0.0,ForexSAI_demo,1710019351
1416969138,1710210897,2026-06-16 22:15:37 UTC,SELL,USTEC,5.0,30037.2,0.0,0.0,-571.0,-571.0,[sl 30041.00],1710019329
1416985866,1710231578,2026-06-16 22:30:38 UTC,BUY,XTIUSD,5.0,77.23,0.0,0.0,-560.0,-560.0,[sl 77.24],1710019351
1416986072,1710231783,2026-06-16 22:30:46 UTC,SELL,XTIUSD,5.0,77.21,0.0,0.0,0.0,0.0,ForexSAI_demo,1710231783
1417021340,1710276317,2026-06-16 23:00:13 UTC,BUY,DE40,5.0,24759.6,0.0,0.0,380.74,380.74,[tp 24758.20],1710019341
1417088897,1710350436,2026-06-17 01:03:39 UTC,BUY,XTIUSD,5.0,76.39,0.0,-72.76,410.0,337.24,[tp 76.41],1710231783
1417088943,1710350496,2026-06-17 01:03:48 UTC,SELL,XTIUSD,5.0,76.33,0.0,0.0,0.0,0.0,ForexSAI_demo,1710350496
1417175689,1710462168,2026-06-17 03:01:54 UTC,BUY,DE40,3.0,24801.3,0.0,0.0,0.0,0.0,FX|S|flip|50,1710462168
1417175695,1710462180,2026-06-17 03:01:55 UTC,BUY,DE40,2.0,24801.3,0.0,0.0,0.0,0.0,FX|W|flip|50,1710462180
1417175731,1710462240,2026-06-17 03:01:57 UTC,BUY,USTEC,3.0,30036.7,0.0,0.0,0.0,0.0,FX|S|flip|50,1710462240
1417175740,1710462253,2026-06-17 03:01:58 UTC,BUY,USTEC,2.0,30036.8,0.0,0.0,0.0,0.0,FX|W|flip|50,1710462253
1417179504,1710467357,2026-06-17 03:04:02 UTC,SELL,XAUUSD,3.0,4334.68,-10.5,0.0,0.0,-10.5,FX|S|emel+pulse1,1710467357
1417179519,1710467384,2026-06-17 03:04:03 UTC,SELL,XAUUSD,2.0,4334.69,-7.0,0.0,0.0,-7.0,FX|W|emel+pulse1,1710467384
1417195539,1710490538,2026-06-17 03:16:30 UTC,BUY,XAUUSD,3.0,4341.05,-10.5,0.0,-1911.0,-1921.5,[sl 4341.17],1710467357
1417195541,1710490539,2026-06-17 03:16:30 UTC,BUY,XAUUSD,2.0,4341.05,-7.0,0.0,-1272.0,-1279.0,[sl 4341.17],1710467384
1417196125,1710491261,2026-06-17 03:16:38 UTC,BUY,XAUUSD,3.0,4340.75,-10.5,0.0,0.0,-10.5,FX|S|flip|50,1710491261
1417196145,1710491284,2026-06-17 03:16:39 UTC,BUY,XAUUSD,2.0,4340.73,-7.0,0.0,0.0,-7.0,FX|W|flip|50,1710491284
1417209072,1710511298,2026-06-17 03:31:02 UTC,SELL,USTEC,3.0,30054.4,0.0,0.0,53.1,53.1,[tp 30054.80],1710462240
1417209073,1710511299,2026-06-17 03:31:02 UTC,SELL,USTEC,2.0,30054.4,0.0,0.0,35.2,35.2,[tp 30054.80],1710462253
1417214929,1710519632,2026-06-17 03:39:39 UTC,SELL,XAUUSD,3.0,4335.44,-10.5,0.0,-1593.0,-1603.5,[sl 4335.76],1710491261
1417214930,1710519633,2026-06-17 03:39:39 UTC,SELL,XAUUSD,2.0,4335.44,-7.0,0.0,-1058.0,-1065.0,[sl 4335.76],1710491284
1417255384,1710575699,2026-06-17 04:09:38 UTC,SELL,DE40,3.0,24815.1,0.0,0.0,48.09,48.09,[tp 24815.10],1710462168
1417255385,1710575700,2026-06-17 04:09:38 UTC,SELL,DE40,2.0,24815.1,0.0,0.0,32.06,32.06,[tp 24815.10],1710462180
1417403167,1710779493,2026-06-17 06:49:10 UTC,BUY,XTIUSD,5.0,75.54,0.0,0.0,395.0,395.0,[tp 75.54],1710350496
1417403261,1710779669,2026-06-17 06:49:41 UTC,SELL,XTIUSD,5.0,75.5,0.0,0.0,0.0,0.0,ForexSAI_demo,1710779669
1417628506,1711075586,2026-06-17 10:12:03 UTC,BUY,XTIUSD,5.0,74.65,0.0,0.0,425.0,425.0,[tp 74.71],1710779669
